YYYYMMDD,hhmmss,unixtimestamp,gride_energy_import,grid_energy_export,grid_power,ev_energy_consumption_,ev_power_consumption,pv_energy_production,pv_power_production,hp_energy_consumption,hp_power_consumption
20150708,001020,1436307020000,2782.660,8614.410,0.154,693.280,0.016,10250.66,0.000,1887.914,0.038
20150708,001025,1436307025000,2782.660,8614.410,0.154,693.280,0.016,10250.66,0.000,1887.914,0.038
20150708,001030,1436307030000,2782.660,8614.410,0.154,693.280,0.016,10250.66,0.000,1887.914,0.038
20150708,001035,1436307035000,2782.660,8614.410,0.152,693.280,0.016,10250.66,0.000,1887.914,0.039
20150708,001040,1436307040000,2782.660,8614.410,0.154,693.280,0.017,10250.66,0.000,1887.914,0.039
20150708,001045,1436307045000,2782.660,8614.410,0.154,693.280,0.016,10250.66,0.000,1887.914,0.038
20150708,001050,1436307050000,2782.660,8614.410,0.154,693.280,0.017,10250.66,0.000,1887.914,0.038
20150708,001055,1436307055000,2782.660,8614.410,0.154,693.280,0.016,10250.66,0.000,1887.914,0.039
20150708,001100,1436307060000,2782.660,8614.410,0.153,693.280,0.016,10250.66,0.000,1887.914,0.038
20150708,001105,1436307065000,2782.660,8614.410,0.154,693.280,0.017,10250.66,0.000,1887.914,0.039
20150708,001110,1436307070000,2782.660,8614.410,0.153,693.280,0.017,10250.66,0.000,1887.914,0.038
20150708,001115,1436307075000,2782.660,8614.410,0.153,693.280,0.016,10250.66,0.000,1887.915,0.039
20150708,001120,1436307080000,2782.660,8614.410,0.153,693.280,0.017,10250.66,0.000,1887.915,0.038
20150708,001125,1436307085000,2782.660,8614.410,0.153,693.280,0.016,10250.66,0.000,1887.915,0.038
20150708,001130,1436307090000,2782.660,8614.410,0.153,693.280,0.016,10250.66,0.000,1887.915,0.038
20150708,001135,1436307095000,2782.660,8614.410,0.152,693.280,0.017,10250.66,0.000,1887.915,0.038
20150708,001140,1436307100000,2782.660,8614.410,0.152,693.280,0.017,10250.66,0.000,1887.915,0.038
20150708,001145,1436307105000,2782.660,8614.410,0.152,693.280,0.016,10250.66,0.000,1887.915,0.038
20150708,001150,1436307110000,2782.670,8614.410,0.153,693.280,0.017,10250.66,0.000,1887.915,0.038
20150708,001155,1436307115000,2782.670,8614.410,0.152,693.280,0.017,10250.66,0.000,1887.915,0.038
20150708,001200,1436307120000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.915,0.038
20150708,001205,1436307125000,2782.670,8614.410,0.152,693.280,0.017,10250.66,0.000,1887.915,0.038
20150708,001210,1436307130000,2782.670,8614.410,0.152,693.280,0.017,10250.66,0.000,1887.915,0.038
20150708,001215,1436307135000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.915,0.038
20150708,001220,1436307140000,2782.670,8614.410,0.152,693.280,0.017,10250.66,0.000,1887.915,0.038
20150708,001225,1436307145000,2782.670,8614.410,0.152,693.280,0.016,10250.66,0.000,1887.915,0.037
20150708,001230,1436307150000,2782.670,8614.410,0.152,693.280,0.016,10250.66,0.000,1887.915,0.038
20150708,001235,1436307155000,2782.670,8614.410,0.152,693.280,0.017,10250.66,0.000,1887.915,0.038
20150708,001240,1436307160000,2782.670,8614.410,0.151,693.280,0.017,10250.66,0.000,1887.915,0.038
20150708,001245,1436307165000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.915,0.038
20150708,001250,1436307170000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001255,1436307175000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001300,1436307180000,2782.670,8614.410,0.152,693.280,0.017,10250.66,0.000,1887.916,0.039
20150708,001305,1436307185000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001310,1436307190000,2782.670,8614.410,0.151,693.280,0.017,10250.66,0.000,1887.916,0.038
20150708,001315,1436307195000,2782.670,8614.410,0.151,693.280,0.017,10250.66,0.000,1887.916,0.038
20150708,001320,1436307200000,2782.670,8614.410,0.150,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001325,1436307205000,2782.670,8614.410,0.150,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001330,1436307210000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001335,1436307215000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001340,1436307220000,2782.670,8614.410,0.150,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001345,1436307225000,2782.670,8614.410,0.150,693.280,0.017,10250.66,0.000,1887.916,0.038
20150708,001350,1436307230000,2782.670,8614.410,0.150,693.280,0.017,10250.66,0.000,1887.916,0.038
20150708,001355,1436307235000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001400,1436307240000,2782.670,8614.410,0.150,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001405,1436307245000,2782.670,8614.410,0.150,693.280,0.017,10250.66,0.000,1887.916,0.038
20150708,001410,1436307250000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.916,0.037
20150708,001415,1436307255000,2782.670,8614.410,0.150,693.280,0.016,10250.66,0.000,1887.916,0.038
20150708,001420,1436307260000,2782.670,8614.410,0.150,693.280,0.017,10250.66,0.000,1887.916,0.038
20150708,001425,1436307265000,2782.670,8614.410,0.151,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001430,1436307270000,2782.670,8614.410,0.150,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001435,1436307275000,2782.670,8614.410,0.150,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001440,1436307280000,2782.670,8614.410,0.150,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001445,1436307285000,2782.670,8614.410,0.149,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001450,1436307290000,2782.670,8614.410,0.149,693.280,0.017,10250.66,0.000,1887.917,0.038
20150708,001455,1436307295000,2782.670,8614.410,0.150,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001500,1436307300000,2782.670,8614.410,0.149,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001505,1436307305000,2782.670,8614.410,0.149,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001510,1436307310000,2782.670,8614.410,0.149,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001515,1436307315000,2782.670,8614.410,0.150,693.280,0.017,10250.66,0.000,1887.917,0.038
20150708,001520,1436307320000,2782.670,8614.410,0.148,693.280,0.017,10250.66,0.000,1887.917,0.038
20150708,001525,1436307325000,2782.670,8614.410,0.149,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001530,1436307330000,2782.670,8614.410,0.148,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001535,1436307335000,2782.670,8614.410,0.149,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001540,1436307340000,2782.670,8614.410,0.149,693.280,0.017,10250.66,0.000,1887.917,0.038
20150708,001545,1436307345000,2782.680,8614.410,0.149,693.280,0.016,10250.66,0.000,1887.917,0.038
20150708,001550,1436307350000,2782.680,8614.410,0.149,693.280,0.017,10250.66,0.000,1887.917,0.038
20150708,001555,1436307355000,2782.680,8614.410,0.149,693.280,0.017,10250.66,0.000,1887.918,0.038
20150708,001600,1436307360000,2782.680,8614.410,0.149,693.280,0.016,10250.66,0.000,1887.918,0.038
20150708,001605,1436307365000,2782.680,8614.410,0.148,693.280,0.016,10250.66,0.000,1887.918,0.038
20150708,001610,1436307370000,2782.680,8614.410,0.150,693.280,0.017,10250.66,0.000,1887.918,0.038
